time,field
-296.35417110000003,-0.0 - 0.0im
-296.289886,-2.5998667231919725e-10 - 4.967876408384636e-10im
-296.2256009,-9.194617180413845e-10 - 2.0366442287595014e-9im
-296.1613158,-1.7933461559208046e-9 - 4.677579004584233e-9im
-296.09703079999997,-2.6924578048519505e-9 - 8.455830380107063e-9im
-296.03274569999996,-3.4256043629093735e-9 - 1.338585702164294e-8im
-295.96846059999996,-3.801627783002565e-9 - 1.946050432809802e-8im
-295.90417560000003,-3.6313869512479737e-9 - 2.66513365410643e-8im
-295.8398905,-2.7296670729382648e-9 - 3.49091238969676e-8im
-295.7756054,-9.170056094442327e-10 - 4.4164473578697376e-8im
-295.7113204,1.978573933006328e-9 - 5.432859274141648e-8im
-295.64703529999997,6.119927603121316e-9 - 6.529417157902229e-8im
-295.58275019999996,1.1659261793613725e-8 - 7.693637425449797e-8im
-295.51846520000004,1.8736713616773505e-8 - 8.911392553599556e-8im
-295.45418010000003,2.7479043913890877e-8 - 1.0167028115306192e-7im
-295.389895,3.79984446661094e-8 - 1.1443487020442306e-7im
-295.3256099,5.03914613789763e-8 - 1.272243983974418e-7im
-295.2613249,6.473802991573052e-8 - 1.3984420147024798e-7im
-295.19703979999997,8.110062626732925e-8 - 1.5208963882277267e-7im
-295.13275469999996,9.952352688061288e-8 - 1.6374751815212838e-7im
-295.06846970000004,1.2003217642714853e-7 - 1.745975427287214e-7im
-295.00418460000003,1.4263265929303387e-7 - 1.8441377385265544e-7im
-294.9398995,1.6731127060576838e-7 - 1.9296610197184077e-7im
-294.8756145,1.9403418229397496e-7 - 2.0002172090741439e-7im
-294.8113294,2.227471994962204e-7 - 2.0534660060612973e-7im
-294.74704429999997,2.533756025999287e-7 - 2.087069547951234e-7im
-294.68275919999996,2.858240702896317e-7 - 2.098707008449705e-7im
-294.61847420000004,3.1997667921925814e-7 - 2.08608910029359e-7im
-294.55418910000003,3.5569697627859017e-7 - 2.0469724718667345e-7im
-294.489904,3.92828119898326e-7 - 1.9791739953232072e-7im
-294.425619,4.311930874169998e-7 - 1.880584950163982e-7im
-294.3613339,4.7059494620013126e-7 - 1.749185111652045e-7im
-294.29704879999997,5.108171869540588e-7 - 1.5830567577045363e-7im
-294.23276380000004,5.516241184823106e-7 - 1.3803986109079405e-7im
-294.16847870000004,5.927613239961272e-7 - 1.1395397339302444e-7im
-294.10419360000003,6.339561799700756e-7 - 8.589533968595697e-8im
-294.0399085,6.749184394352456e-7 - 5.372709337908394e-8im
-293.9756235,7.153408824905847e-7 - 1.732956033058077e-8im
-293.9113384,7.549000376742668e-7 + 2.3398353665381387e-8im
-293.84705329999997,7.932569786572096e-7 + 6.853777345970889e-8im
-293.78276830000004,8.300582014715502e-7 + 1.1814846340595266e-7im
-293.71848320000004,8.64936588157796e-7 + 1.7226743553270615e-7im
-293.65419810000003,8.975124632871903e-7 + 2.309075590293811e-7im
-293.5899131,9.273947502651909e-7 + 2.9405617411166596e-7im
-293.525628,9.541822346451478e-7 + 3.61673714508945e-7im
-293.4613429,9.774649418532533e-7 + 4.3369234407248537e-7im
-293.39705790000005,9.968256367378347e-7 + 5.100146143364361e-7im
-293.33277280000004,1.0118414521981193e-6 + 5.905121512404969e-7im
-293.26848770000004,1.0220856538066918e-6 + 6.750243806452009e-7im
-293.20420260000003,1.0271295468108298e-6 + 7.633573036906158e-7im
-293.1399176,1.0265445311797543e-6 + 8.552823344751489e-7im
-293.0756325,1.0199043094394778e-6 + 9.505352139089539e-7im
-293.0113474,1.0067872509301014e-6 + 1.048815014936654e-6im
-292.94706240000005,9.867789148046129e-7 + 1.1497832555696003e-6im
-292.88277730000004,9.594747325911588e-7 + 1.2530631373238204e-6im
-292.81849220000004,9.244828494570673e-7 + 1.3582389276821421e-6im
-292.7542072,8.814271214563686e-7 + 1.4648555060830735e-6im
-292.6899221,8.29950264028101e-7 + 1.5724180936375584e-6im
-292.625637,7.697171448454085e-7 + 1.6803921873004517e-6im
-292.5613519,7.004182118267673e-7 + 1.7882037195227383e-6im
-292.49706690000005,6.217730447206254e-7 + 1.8952394644882881e-6im
-292.43278180000004,5.335340161804332e-7 + 2.000847711867951e-6im
-292.36849670000004,4.354900457028353e-7 + 2.104339228592422e-6im
-292.3042117,3.274704272044969e-7 + 2.204988528437708e-6im
-292.2399266,2.093487084179808e-7 + 2.302035468230518e-6im
-292.1756415,8.104659770007312e-8 + 2.3946871882029866e-6im
-292.11135650000006,-5.746212868494008e-8 + 2.4821204124440683e-6im
-292.04707140000005,-2.0614774820242776e-7 + 2.5634841235318717e-6im
-291.98278630000004,-3.649207743396439e-7 + 2.6379026232583964e-6im
-291.9185013,-5.336282334986289e-7 + 2.704478988897964e-6im
-291.8542162,-7.120500724506213e-7 + 2.762298931736024e-6im
-291.7899311,-8.998957341465454e-7 + 2.8104350615500838e-6im
-291.725646,-1.0968009412513822e-6 + 2.847951557477268e-6im
-291.66136100000006,-1.3023247280892526e-6 + 2.8739092421773594e-6im
-291.59707590000005,-1.5159467627116303e-6 + 2.887371052481199e-6im
-291.53279080000004,-1.7370650014842846e-6 + 2.8874078957829397e-6im
-291.4685058,-1.964993718947914e-6 + 2.8731048773413677e-6im
-291.4042207,-2.1989619556753616e-6 + 2.843567879434686e-6im
-291.3399356,-2.438112426421933e-6 + 2.797930468958613e-6im
-291.27565060000006,-2.6815009300522067e-6 + 2.735361105673672e-6im
-291.21136550000006,-2.928096301446744e-6 + 2.6550706188528514e-6im
-291.14708040000005,-3.1767809439232983e-6 + 2.556319915654745e-6im
-291.08279530000004,-3.4263519785382005e-6 + 2.4384278801701953e-6im
-291.0185103,-3.6755230440724293e-6 + 2.3007794177865517e-6im
-290.9542252,-3.9229267784432215e-6 + 2.1428335953645224e-6im
-290.8899401,-4.167118008806799e-6 + 1.9641318237421532e-6im
-290.82565510000006,-4.406577673689387e-6 + 1.764306025315346e-6im
-290.76137000000006,-4.6397174961358435e-6 + 1.5430867259684339e-6im
-290.69708490000005,-4.864885422092326e-6 + 1.3003110074437907e-6im
-290.6327999,-5.080371833105464e-6 + 1.0359302534195274e-6im
-290.5685148,-5.284416536892476e-6 + 7.500176201387804e-7im
-290.5042297,-5.475216533493609e-6 + 4.427751604531594e-7im
-290.4399446,-5.650934548577573e-6 + 1.145405286256934e-7im
-290.37565960000006,-5.809708319035784e-6 - 2.342068077586301e-7im
-290.31137450000006,-5.949660609403536e-6 - 6.028399228777803e-7im
-290.24708940000005,-6.068909930799578e-6 - 9.90579428739732e-7im
-290.1828044,-6.1655819271549936e-6 - 1.396489185511503e-6im
-290.1185193,-6.237821386500431e-6 - 1.8194727980196231e-6im
-290.0542342,-6.283804828002292e-6 - 2.2582709683838645e-6im
-289.98994919999996,-6.301753608484666e-6 - 2.711459772098178e-6im
-289.92566410000006,-6.2899474852159255e-6 - 3.1774499215785074e-6im
-289.86137900000006,-6.246738565007608e-6 - 3.6544870772510563e-6im
-289.797094,-6.1705655631142634e-6 - 4.140653261629914e-6im
-289.7328089,-6.059968289152642e-6 - 4.633869426566587e-6im
-289.6685238,-5.9136022713183615e-6 - 5.131899217946775e-6im
-289.6042387,-5.730253424653492e-6 - 5.6323539755727045e-6im
-289.53995369999996,-5.508852664022948e-6 - 6.1326989988562255e-6im
-289.47566860000006,-5.24849035791447e-6 - 6.630261101245216e-6im
-289.41138350000006,-4.948430515181834e-6 - 7.1222374680868735e-6im
-289.3470985,-4.608124593509347e-6 - 7.605705823945101e-6im
-289.2828134,-4.227224815691478e-6 - 8.077635906207976e-6im
-289.2185283,-3.805596877905119e-6 - 8.534902232327113e-6im
-289.15424329999996,-3.3433319329694403e-6 - 8.974298138130629e-6im
-289.08995819999996,-2.8407577312713687e-6 - 9.392551054551395e-6im
-289.02567310000006,-2.2984488025106267e-6 - 9.786338979758035e-6im
-288.96138800000006,-1.7172355628587166e-6 - 1.0152308093220316e-5im
-288.897103,-1.0982122343594006e-6 - 1.0487091447715592e-5im
-288.8328179,-4.4274346669923923e-7 - 1.07873286647975e-5im
-288.7685328,2.475304444161561e-7 - 1.1049686548812401e-5im
-288.70424779999996,9.706898429297854e-7 - 1.1270880524362603e-5im
-288.63996269999996,1.7245335967124185e-6 - 1.144769679213987e-5im
-288.57567760000006,2.5065786681013072e-6 - 1.1577015088435341e-5im
-288.5113926,3.314061450403791e-6 - 1.1655831924487858e-5im
-288.4471075,4.14394094130844e-6 - 1.1681284173119796e-5im
-288.3828224,4.992903814506841e-6 - 1.1650672862096456e-5im
-288.31853739999997,5.857371440351147e-6 - 1.1561487026234119e-5im
-288.25425229999996,6.733508895130881e-6 - 1.1411427463660012e-5im
-288.18996719999996,7.617235986607061e-6 - 1.1198430235850263e-5im
-288.12568210000006,8.504240310795006e-6 - 1.0920689746174498e-5im
-288.0613971,9.389992341786488e-6 - 1.0576681227790827e-5im
-287.997112,1.0269762542660555e-5 - 1.016518246882703e-5im
-287.9328269,1.1138640471352862e-5 - 9.685294601060003e-6im
-287.86854189999997,1.1991555840831242e-5 - 9.136461777630765e-6im
-287.80425679999996,1.28233014781286e-5 - 8.518489565923713e-6im
-287.73997169999996,1.3628558111845787e-5 - 7.83156188352955e-6im
-287.6756867,1.4401920902689698e-5 - 7.076256308239627e-6im
-287.6114016,1.5137927616653274e-5 - 6.253557597373515e-6im
-287.5471165,1.5831088325622276e-5 - 5.364869257347339e-6im
-287.4828314,1.6475916505576585e-5 - 4.4120230113190705e-6im
-287.41854639999997,1.7066961388395284e-5 - 3.397286020931044e-6im
-287.35426129999996,1.7598841409506143e-5 - 2.323365727703491e-6im
-287.28997619999996,1.8066278580515396e-5 - 1.193412190313242e-6im
-287.2256912,1.8464133603483265e-5 - 1.1017805982613933e-8im
-287.1614061,1.878744153192949e-5 + 1.2197856826636741e-6im
-287.097121,1.9031447772913984e-5 + 2.494532979687753e-6im
-287.032836,1.919164421487325e-5 + 3.808333895940477e-6im
-286.96855089999997,1.9263805257347814e-5 + 5.155884929977463e-6im
-286.90426579999996,1.9244023511349613e-5 + 6.5314838053657205e-6im
-286.83998069999996,1.9128744933149177e-5 + 7.929046981910732e-6im
-286.7756957,1.8914803149561382e-5 + 9.342130139659558e-6im
-286.7114106,1.8599452729643477e-5 + 1.0763951615093867e-5im
-286.6471255,1.818040115607735e-5 + 1.2187418749139802e-5im
-286.5828405,1.7655839249429076e-5 + 1.360515708636255e-5im
-286.51855539999997,1.7024469800064667e-5 + 1.500954234420729e-5im
-286.45427029999996,1.6285534165747646e-5 + 1.6392735050589824e-5im
-286.38998530000003,1.5438836597898105e-5 + 1.7746717727489853e-5im
-286.3257002,1.4484766066174004e-5 + 1.9063334477789954e-5im
-286.2614151,1.3424315359459852e-5 + 2.0334332812465838e-5im
-286.1971301,1.2259097251461274e-5 + 2.155140753549173e-5im
-286.132845,1.099135753094571e-5 + 2.2706246484766028e-5im
-286.06855989999997,9.623984710219504e-6 + 2.379057790890579e-5im
-286.00427479999996,8.160516240518071e-6 + 2.479621924231775e-5im
-285.93998980000003,6.605141079806489e-6 + 2.5715127024415106e-5im
-285.87570470000003,4.962698476640328e-6 + 2.653944769353333e-5im
-285.8114196,3.238672853509144e-6 + 2.7261568972058974e-5im
-285.7471346,1.4391846940566183e-6 + 2.7874171546668117e-5im
-285.6828495,-4.2902263914407417e-7 + 2.837028073647939e-5im
-285.61856439999997,-2.358600206145675e-6 + 2.8743317832550337e-5im
-285.55427940000004,-4.341614936013467e-6 + 2.8987150784482718e-5im
-285.48999430000003,-6.369575218249156e-6 + 2.9096143904152894e-5im
-285.42570920000003,-8.433460613436492e-6 + 2.9065206252751993e-5im
-285.3614241,-1.0523755630655378e-5 + 2.8889838375583407e-5im
-285.2971391,-1.2630487492268986e-5 + 2.8566177049379607e-5im
