time,field
-264.120989478,0.0 + 0.0im
-264.05699117800003,4.308231025827389e-9 + 6.6853451609773766e-9im
-263.992992878,1.5291400291559894e-8 + 2.7862886940951384e-8im
-263.928994578,2.9874465399204536e-8 + 6.488887290652145e-8im
-263.86499627800004,4.4809818698854145e-8 + 1.1866690337125557e-7im
-263.800997978,5.673441706266709e-8 + 1.8963093496745254e-7im
-263.736999678,6.222817072960848e-8 + 2.7773492952430066e-7im
-263.673001378,5.7872856169324995e-8 + 3.824491877540767e-7im
-263.609003078,4.031082694228587e-8 + 5.027633288243204e-7im
-263.545004778,6.302813677850324e-9 + 6.371958011507703e-7im
-263.481006478,-4.72158709513501e-8 + 7.838097374155301e-7im
-263.417008178,-1.2308137455443298e-7 + 9.402348987331169e-7im
-263.353009878,-2.2385020869737445e-7 + 1.1036953896204527e-6im
-263.289011578,-3.5175158398941207e-7 + 1.271042767587632e-6im
-263.225013278,-5.086436976447907e-7 + 1.4387941192190745e-6im
-263.161014978,-6.959744413460023e-7 + 1.6031746289422687e-6im
-263.097016678,-9.147469405344602e-7 + 1.760164127541003e-6im
-263.033018378,-1.1654902768960139e-6 + 1.9055470750891657e-6im
-262.969020078,-1.4482356845701178e-6 + 2.0349654074041914e-6im
-262.905021778,-1.7624984482894146e-6 + 2.1439736563948155e-6im
-262.841023478,-2.1072656689750955e-6 + 2.228095742657788e-6im
-262.77702517800003,-2.4809900000298666e-6 + 2.2828828332643303e-6im
-262.713026778,-2.881589396329985e-6 + 2.303971658559109e-6im
-262.649028478,-3.306452858341091e-6 + 2.287142688679654e-6im
-262.585030178,-3.7524520965036673e-6 + 2.2283775830679433e-6im
-262.52103187800003,-4.215958986441862e-6 + 2.1239153439553477e-6im
-262.457033578,-4.692868634214181e-6 + 1.9703066273143378e-6im
-262.393035278,-5.178627823015497e-6 + 1.7644656914909275e-6im
-262.32903697800003,-5.668268568803506e-6 + 1.5037194941885964e-6im
-262.265038678,-6.156446472476439e-6 + 1.1858534821182583e-6im
-262.201040378,-6.6374835206389795e-6 + 8.091536539276348e-7im
-262.13704207800004,-7.1054149556998516e-6 + 3.724445154252725e-7im
-262.073043778,-7.554039809142899e-6 - 1.248774138673472e-7im
-262.009045478,-7.976974669195826e-6 - 6.828148426920817e-7im
-261.945047178,-8.367710235737933e-6 - 1.3007459566695337e-6im
-261.881048878,-8.719670200942626e-6 - 1.9774058897142876e-6im
-261.817050578,-9.02627198371714e-6 - 2.7108735926485745e-6im
-261.753052278,-9.280988839187268e-6 - 3.498564232189782e-6im
-261.689053978,-9.477412861068766e-6 - 4.337227213091881e-6im
-261.625055678,-9.609318394463281e-6 - 5.222949876909136e-6im
-261.561057378,-9.670725379149227e-6 - 6.151166892814261e-6im
-261.497059078,-9.655962148477366e-6 - 7.116675319282752e-6im
-261.433060778,-9.559727216283537e-6 - 8.113655280361692e-6im
-261.369062478,-9.377149593451879e-6 - 9.135696166696078e-6im
-261.305064178,-9.10384718668965e-6 - 1.0175828239516755e-5im
-261.24106587800003,-8.735982844433787e-6 - 1.1226559485347481e-5im
-261.177067578,-8.270317628398044e-6 - 1.227991754020821e-5im
-261.113069278,-7.704260903893536e-6 - 1.3327496474451804e-5im
-261.04907097800003,-7.035916857586474e-6 - 1.4360508202975697e-5im
-260.985072678,-6.264127067680371e-6 - 1.5369838260247092e-5im
-260.921074378,-5.38850876856043e-6 - 1.6346105655222228e-5im
-260.85707607800003,-4.409488469693291e-6 - 1.7279726497664617e-5im
-260.793077778,-3.3283306070644657e-6 - 1.8160981064475164e-5im
-260.729079478,-2.1471609247105426e-6 - 1.898008395224939e-5im
-260.66508117800004,-8.689843040498464e-7 - 1.9727256940315916e-5im
-260.601082878,5.023032201139376e-7 - 2.039280416686362e-5im
-260.537084578,1.961908495704714e-6 - 2.0967189199436362e-5im
-260.473086278,3.5041415567127105e-6 - 2.1441113559954778e-5im
-260.409087978,5.122422383635149e-6 - 2.1805596243703033e-5im
-260.345089678,6.809294283902618e-6 - 2.205205375126367e-5im
-260.281091378,8.556444026237022e-6 - 2.2172380132537414e-5im
-260.217093078,1.0354728831758193e-5 - 2.2159026522744178e-5im
-260.153094778,1.219421029120598e-5 - 2.2005079632000674e-5im
-260.089096478,1.4064195241632616e-5 - 2.1704338632917173e-5im
-260.025098178,1.595328359730501e-5 - 2.125138987502651e-5im
-259.961099878,1.784942308813736e-5 - 2.0641678841032565e-5im
-259.897101578,1.973997081480162e-5 - 1.9871578748344347e-5im
-259.833103278,2.161176148265836e-5 - 1.893845519046369e-5im
-259.76910497800003,2.3451182126937375e-5 - 1.7840726207084995e-5im
-259.705106678,2.524425308925124e-5 - 1.657791716960177e-5im
-259.641108378,2.697671495082425e-5 - 1.5150709870713417e-5im
-259.57711007800003,2.863412107088816e-5 - 1.3560985213306245e-5im
-259.513111778,3.020193532009712e-5 - 1.1811858905376297e-5im
-259.449113478,3.166563453871462e-5 - 9.907709584786195e-6im
-259.38511517800004,3.3010815188466816e-5 - 7.854198820594203e-6im
-259.321116878,3.422330360568275e-5 - 5.658282466901104e-6im
-259.257118578,3.528926920249618e-5 - 3.328212880967297e-6im
-259.193120278,3.619533990297646e-5 - 8.735315599699151e-7im
-259.129121978,3.6928719042996066e-5 + 1.6949481995477388e-6im
-259.065123678,3.747730290716051e-5 + 4.365168958728256e-6im
-259.001125378,3.7829798024043114e-5 + 7.123867385251656e-6im
-258.937127078,3.7975837293272396e-5 + 9.956623298368562e-6im
-258.873128778,3.79060939754652e-5 + 1.2847919636767375e-5im
-258.809130478,3.761239253959117e-5 + 1.578121339168464e-5im
-258.745132178,3.708781533293865e-5 + 1.873901745734821e-5im
-258.681133878,3.632680401729388e-5 + 2.1702993254970984e-5im
-258.617135578,3.5325254702108605e-5 + 2.4654053885775113e-5im
-258.553137278,3.4080605702059945e-5 + 2.757247746366371e-5im
-258.489138978,3.259191685321754e-5 + 3.0438030170055096e-5im
-258.425140678,3.085993933973168e-5 + 3.3230098463078936e-5im
-258.361142378,2.888717501193521e-5 + 3.592782976180823e-5im
-258.29714407800003,2.667792421761471e-5 + 3.8510280814732445e-5im
-258.233145778,2.4238321221112424e-5 + 4.0956572851416536e-5im
-258.169147478,2.157635635015263e-5 + 4.3246052508649364e-5im
-258.10514917800003,1.870188408780516e-5 + 4.535845741861781e-5im
-258.041150878,1.5626616416741522e-5 + 4.727408524828574e-5im
-257.977152578,1.2364100824583642e-5 + 4.897396488743187e-5im
-257.91315427800004,8.929682492294056e-6 + 5.044002839938604e-5im
-257.849155978,5.340450311563686e-6 + 5.1655282274478944e-5im
-257.785157678,1.6151665112898477e-6 + 5.2603976463293345e-5im
-257.721159278,-2.225820183478649e-6 + 5.327176961592446e-5im
-257.65716097800004,-6.160677785404592e-6 + 5.364588891616389e-5im
-257.593162678,-1.0166210438603935e-5 + 5.371528287670994e-5im
-257.529164378,-1.4217993575804237e-5 + 5.3470765454292224e-5im
-257.465166078,-1.8290524274966766e-5 + 5.290514985287771e-5im
-257.401167778,-2.2357386081803324e-5 + 5.2013370409493285e-5im
-257.337169478,-2.6391427394503603e-5 + 5.0792591001395864e-5im
-257.273171178,-3.036495233836067e-5 + 4.92422984755119e-5im
-257.209172878,-3.424992289266132e-5 + 4.736437968157358e-5im
-257.145174578,-3.801817087227751e-5 + 4.516318078912209e-5im
-257.081176278,-4.164161821380029e-5 + 4.26455476851908e-5im
-257.017177978,-4.509250387284341e-5 + 3.9820846383731996e-5im
-256.953179678,-4.834361550729444e-5 + 3.6700962528736725e-5im
-256.889181378,-5.13685240027888e-5 + 3.330027923994138e-5im
-256.825183078,-5.4141818793325034e-5 + 2.963563273145852e-5im
-256.761184778,-5.663934184364152e-5 + 2.5726245328605366e-5im
-256.697186478,-5.883841809223176e-5 + 2.1593635714810317e-5im
-256.633188178,-6.071808010634368e-5 + 1.7261506457029455e-5im
-256.569189878,-6.225928467422719e-5 + 1.2755609082680914e-5im
-256.505191578,-6.344511905646134e-5 + 8.103587211472386e-6im
-256.441193278,-6.426099463828176e-5 + 3.3347984794292872e-6im
-256.377194978,-6.46948257692107e-5 - 1.5198837725722813e-6im
-256.313196678,-6.473719164530743e-5 - 6.428287839847847e-6im
