time,field
-60.0,-4.5010590032608355e-7
-59.87987987987989,-3.803230485322039e-7
-59.75975975975977,-1.0339547542931745e-7
-59.63963963963963,1.890095091635623e-7
-59.51951951951952,3.5234750580084393e-7
-59.3993993993994,3.4041680442852855e-7
-59.27927927927929,2.2045261622765327e-7
-59.15915915915917,9.854275488764024e-8
-59.03903903903903,2.8363910044984427e-8
-58.91891891891892,-6.780172508145676e-9
-58.7987987987988,-4.052789728399841e-8
-58.678678678678686,-7.44800659198204e-8
-58.558558558558566,-8.539418263851174e-8
-58.43843843843844,-6.439866965969698e-8
-58.31831831831831,-3.1757021873816607e-8
-58.1981981981982,-1.0982865159151884e-8
-58.07807807807808,-9.468694514468862e-10
-57.957957957957966,1.3430787094545718e-8
-57.83783783783784,2.300863933474718e-8
-57.71771771771771,-1.6480380210648883e-8
-57.5975975975976,-1.3240350274298918e-7
-57.47747747747748,-2.553047875354519e-7
-57.357357357357365,-1.9956952358372682e-7
-57.23723723723724,2.3311003289027566e-7
-57.11711711711711,1.0662446294900239e-6
-56.996996996997,2.014380228947852e-6
-56.87687687687688,2.5442432513256033e-6
-56.756756756756765,2.1551630499816644e-6
-56.63663663663664,7.322209305589909e-7
-56.51651651651651,-1.2685194892842904e-6
-56.3963963963964,-2.9701925987560082e-6
-56.27627627627628,-3.5167788955696743e-6
-56.156156156156165,-2.555016256388829e-6
-56.03603603603604,-4.563660870927136e-7
-55.91591591591591,1.8667606078886015e-6
-55.79579579579579,3.4412641152511134e-6
-55.67567567567568,3.7202397095592835e-6
-55.55555555555556,2.798906085377786e-6
-55.435435435435444,1.2677119300268967e-6
-55.31531531531532,-1.6492834505764847e-7
-55.19519519519519,-1.0330799060499608e-6
-55.07507507507508,-1.2635480263617532e-6
-54.95495495495496,-1.0845975831250737e-6
-54.834834834834844,-8.09208014475425e-7
-54.714714714714724,-6.50752291489739e-7
-54.59459459459459,-6.628259262961664e-7
-54.474474474474476,-7.904542187450904e-7
-54.354354354354356,-9.566685346616281e-7
-54.23423423423424,-1.1161388816878597e-6
-54.11411411411412,-1.2583569798537302e-6
-53.993993993993996,-1.3858355156641324e-6
