time,field
-60.0,-5.404359267422258e-7
-59.87987987987989,-5.698008505180181e-7
-59.75975975975977,-4.973971842105588e-7
-59.63963963963963,-3.6238143097538e-7
-59.51951951951952,-2.415386649672905e-7
-59.3993993993994,-1.5379030792150885e-7
-59.27927927927929,-1.622813856588412e-8
-59.15915915915917,2.8116351466694797e-7
-59.03903903903903,7.35819862656067e-7
-58.91891891891892,1.1663484623953725e-6
-58.7987987987988,1.3085227670094922e-6
-58.678678678678686,1.0133293489808498e-6
-58.558558558558566,3.81131412820014e-7
-58.43843843843844,-2.888344061019387e-7
-58.31831831831831,-6.969608792440139e-7
-58.1981981981982,-7.302108727047117e-7
-58.07807807807808,-4.98705191895843e-7
-57.957957957957966,-2.1752506470756003e-7
-57.83783783783784,-4.861149492814634e-8
-57.71771771771771,-2.3894953814559406e-8
-57.5975975975976,-7.986724716606902e-8
-57.47747747747748,-1.4162972316773063e-7
-57.357357357357365,-1.771014474580573e-7
-57.23723723723724,-1.9358784462039998e-7
-57.11711711711711,-2.0580212521903868e-7
-56.996996996997,-2.1623821478066203e-7
-56.87687687687688,-2.2001328775916173e-7
-56.756756756756765,-2.1726518351564278e-7
-56.63663663663664,-2.1495497445155225e-7
-56.51651651651651,-2.184450627904882e-7
-56.3963963963964,-2.2561415611549353e-7
-56.27627627627628,-2.305180557048961e-7
-56.156156156156165,-2.3076945828154477e-7
-56.03603603603604,-2.2930997306179342e-7
-55.91591591591591,-2.293851923030152e-7
-55.79579579579579,-2.2982017715189406e-7
-55.67567567567568,-2.264047626749779e-7
-55.55555555555556,-2.1715130759960857e-7
-55.435435435435444,-2.04650208016009e-7
-55.31531531531532,-1.9280419010686036e-7
-55.19519519519519,-1.8253994177582113e-7
-55.07507507507508,-1.727289909700249e-7
-54.95495495495496,-1.6610415161766678e-7
-54.834834834834844,-1.7224269861861477e-7
-54.714714714714724,-1.9977909396504367e-7
-54.59459459459459,-2.399270878920296e-7
-54.474474474474476,-2.552386225295224e-7
-54.354354354354356,-1.8971227782953523e-7
-54.23423423423424,-3.7081070604607992e-9
-54.11411411411412,2.835575065337251e-7
-53.993993993993996,5.746821938145571e-7
-53.87387387387388,7.221293439704525e-7
-53.753753753753756,6.009528699081798e-7
-53.633633633633636,1.9105766922779247e-7
-53.51351351351352,-3.8194356247352836e-7
-53.393393393393396,-8.826360250796372e-7
-53.27327327327328,-1.0715608676743478e-6
-53.153153153153156,-8.29035124213391e-7
-53.033033033033036,-2.2722933540191692e-7
-52.91291291291292,4.953402120685141e-7
-52.7927927927928,1.0480314521154772e-6
-52.672672672672675,1.2292698655079103e-6
-52.552552552552555,1.0159993692034563e-6
-52.432432432432435,5.540665854437828e-7
-52.31231231231232,6.271971622056908e-8
-52.1921921921922,-2.8360637768085977e-7
-52.072072072072075,-4.263368176551623e-7
-51.95195195195195,-4.153932767526383e-7
-51.831831831831835,-3.4602986189304066e-7
-51.711711711711715,-2.9253631578338655e-7
-51.5915915915916,-2.799323278895713e-7
-51.471471471471475,-2.9730876667407107e-7
-51.35135135135135,-3.2644027307583686e-7
-51.231231231231234,-3.582837520412149e-7
-51.111111111111114,-3.9111251947461664e-7
-50.990990990991,-4.2272888555105455e-7
-50.87087087087087,-4.4908559121269924e-7
-50.75075075075075,-4.6877475174515236e-7
-50.630630630630634,-4.849424443213354e-7
