time,field,ref,writeheader
-160.0,-6.579642657483858e-7,-1.1106033241539155e-241 + 0.0im,false
-159.465776293823,-7.34325846571533e-7,-1.4281404732190292e-240 + 0.0im,false
-158.93155258764608,-7.342690423317493e-7,8.413931879480843e-239 + 0.0im,false
-158.39732888146912,-6.118727682309928e-7,7.716581446573143e-237 + 0.0im,false
-157.86310517529213,-3.161061078147136e-7,3.67813301972935e-235 + 0.0im,false
-157.3288814691152,1.2249627578233366e-7,1.1866262610907084e-233 + 0.0im,false
-156.79465776293824,4.818578397637058e-7,2.097625560501099e-232 + 0.0im,false
-156.26043405676128,4.4184087355048987e-7,-3.83357027907943e-231 + 0.0im,false
-155.72621035058432,-6.646846625554753e-8,-5.250375092651454e-229 + 0.0im,false
-155.19198664440734,-6.717003103116513e-7,-2.6572630781512e-227 + 0.0im,false
-154.65776293823038,-9.526565797837995e-7,-8.954599274113273e-226 + 0.0im,false
-154.12353923205342,-9.703062751170395e-7,-1.867610791673159e-224 + 0.0im,false
-153.58931552587646,-1.041575960189976e-6,3.4472739653497607e-224 + 0.0im,false
-153.05509181969947,-9.860609951293174e-7,2.4827608997915534e-221 + 0.0im,false
-152.52086811352254,-1.5944511433923167e-7,1.370196311817146e-219 + 0.0im,false
-151.98664440734558,1.4747906856622854e-6,4.802958297332966e-218 + 0.0im,false
-151.4524207011686,2.758953408925251e-6,1.1074451451035354e-216 + 0.0im,false
-150.91819699499166,2.4380800956865366e-6,7.446118245844202e-216 + 0.0im,false
-150.3839732888147,7.871380866484261e-7,-7.941787649453261e-214 + 0.0im,false
-149.8497495826377,-6.024054765696897e-7,-5.029085712097462e-212 + 0.0im,false
-149.31552587646078,-8.570031669598423e-7,-1.8373955658443778e-210 + 0.0im,false
-148.78130217028382,-6.889979432528458e-7,-4.5315255700744035e-209 + 0.0im,false
-148.24707846410683,-8.866486845518093e-7,-5.343696021421612e-208 + 0.0im,false
-147.71285475792988,-1.0467803263180694e-6,1.6106957703013114e-206 + 0.0im,false
-147.17863105175292,-4.049035312612428e-7,1.3070747020678475e-204 + 0.0im,false
-146.64440734557596,8.248036627492248e-7,5.0210183737321156e-203 + 0.0im,false
-146.11018363939897,1.5963292992991402e-6,1.3014260411337054e-201 + 0.0im,false
-145.57595993322204,1.2946467359033755e-6,1.9552167131857396e-200 + 0.0im,false
-145.04173622704505,3.481422079954689e-7,-1.63737133995234e-199 + 0.0im,false
-144.5075125208681,-4.5477648687697536e-7,-2.383295785943162e-197 + 0.0im,false
-143.97328881469116,-8.177607941938929e-7,-9.80087350835034e-196 + 0.0im,false
-143.43906510851417,-9.159610624930333e-7,-2.6473007289172232e-194 + 0.0im,false
-142.9048414023372,-9.046309865008258e-7,-4.55230076530223e-193 + 0.0im,false
-142.37061769616028,-7.690770035720301e-7,-7.129479552379991e-193 + 0.0im,false
-141.8363939899833,-5.174052429561803e-7,2.996263843989738e-190 + 0.0im,false
-141.30217028380633,-2.7513333067205014e-7,1.3643690763405228e-188 + 0.0im,false
-140.7679465776294,-1.6982307463087948e-7,3.833559635353441e-187 + 0.0im,false
-140.23372287145241,-2.1692652462538342e-7,7.179469585247321e-186 + 0.0im,false
-139.69949916527545,-3.4036796504418966e-7,5.063227026875716e-185 + 0.0im,false
