time,field,writeheader
-300.0,-3.087282035236019e-7,true
-299.49964260185845,-7.7455127152023e-8,true
-298.99928520371697,1.6729824140935233e-7,true
-298.4989278055754,3.5883742711560664e-7,true
-297.9985704074339,4.3644462171057736e-7,true
-297.49821300929233,3.6426988268877317e-7,true
-296.99785561115084,1.454100608020521e-7,true
-296.4974982130093,-1.73991867607917e-7,true
-295.99714081486775,-5.132753288827939e-7,true
-295.49678341672626,-7.77303763428998e-7,true
-294.99642601858477,-8.83086967967575e-7,true
-294.49606862044317,-7.854887769172692e-7,true
-293.9957112223016,-4.941397999921925e-7,true
-293.4953538241601,-7.567543974307863e-8,true
-292.9949964260186,3.6067815521192113e-7,true
-292.4946390278771,6.913579114521413e-7,true
-291.9942816297355,8.133733056018243e-7,true
-291.493924231594,6.760463552381345e-7,true
-290.9935668334525,2.9983552546819416e-7,true
-290.4932094353109,-2.2440621148117623e-7,true
-289.9928520371694,-7.569367093999101e-7,true
-289.4924946390279,-1.146374144099971e-6,true
-288.9921372408864,-1.272675684221218e-6,true
-288.49177984274485,-1.0836525282504304e-6,true
-287.9914224446033,-6.141066599906451e-7,true
-287.49106504646176,1.8933743228420272e-8,true
-286.9907076483202,6.449599451825369e-7,true
-286.49035025017866,1.0858884570887767e-6,true
-285.9899928520372,1.2068205210634354e-6,true
-285.48963545389563,9.570780038007905e-7,true
-284.98927805575414,3.889507483890173e-7,true
-284.4889206576126,-3.5238893188410756e-7,true
-283.98856325947105,-1.0660639577967203e-6,true
-283.4882058613295,-1.5500706781972464e-6,true
-282.98784846318796,-1.6583448522545846e-6,true
-282.48749106504647,-1.3443037742465538e-6,true
-281.9871336669049,-6.780871851268981e-7,true
-281.48677626876344,1.6843035624168005e-7,true
-280.9864188706219,9.659779731228555e-7,true
-280.48606147248034,1.490192122945524e-6,true
-279.98570407433886,1.5848166313467502e-6,true
-279.4853466761973,1.2078244152647103e-6,true
-278.98498927805576,4.468813632071099e-7,true
-278.4846318799142,-5.009594385410512e-7,true
-277.9842744817727,-1.380459931187147e-6,true
-277.4839170836312,-1.9468431806870124e-6,true
-276.98355968548964,-2.0334979143586413e-6,true
-276.4832022873481,-1.6002163157059464e-6,true
-275.9828448892066,-7.482465760507697e-7,true
-275.48248749106506,3.029898821024866e-7,true
-274.9821300929235,1.27233693060177e-6,true
-274.48177269478197,1.8919898111285265e-6,true
-273.9814152966404,1.9811053141843143e-6,true
-273.481057898499,1.497712039658615e-6,true
-272.98070050035744,5.542722874466539e-7,true
-272.48034310221584,-6.081039470806843e-7,true
-271.9799857040743,-1.6808630994014084e-6,true
-271.4796283059328,-2.3692724086942386e-6,true
-270.9792709077913,-2.4726277172190236e-6,true
-270.4789135096498,-1.9418749310879616e-6,true
-269.9785561115082,-8.982449312852593e-7,true
-269.47819871336674,3.9358264367604385e-7,true
-268.9778413152252,1.5920670399248481e-6,true
-268.4774839170836,2.368397503643813e-6,true
-267.9771265189421,2.4957214436552863e-6,true
-267.47676912080055,1.914214739991301e-6,true
-266.97641172265907,7.53893343169768e-7,true
-266.4760543245175,-6.926770388313019e-7,true
-265.975696926376,-2.0428987521121803e-6,true
-265.4753395282345,-2.9244450778372847e-6,true
-264.9749821300929,-3.077287623917289e-6,true
-264.4746247319514,-2.429401568389191e-6,true
-263.9742673338099,-1.1242422563673355e-6,true
-263.4739099356683,5.092460703380337e-7,true
-262.9735525375268,2.0380568963741102e-6,true
-262.47319513938527,3.038296017068517e-6,true
-261.9728377412438,3.211462320967134e-6,true
-261.47248034310223,2.472756086040022e-6,true
-260.97212294496063,9.85394636311373e-7,true
-260.47176554681914,-8.723485612629296e-7,true
-259.97140814867765,-2.6021429017558445e-6,true
-259.4710507505361,-3.71896038777993e-6,true
-258.97069335239456,-3.88662161754491e-6,true
-258.4703359542531,-3.017477469154182e-6,true
-257.9699785561115,-1.3075071365054036e-6,true
-257.46962115797,8.049603146374632e-7,true
-256.96926375982844,2.7490871165000187e-6,true
-256.4689063616869,3.973979858125625e-6,true
-255.9685489635454,4.1045303831305354e-6,true
-255.46819156540388,3.056699614038664e-6,true
-254.96783416726234,1.0757195753089647e-6,true
-254.46747676912082,-1.318788113708778e-6,true
-253.96711937097928,-3.4692840845543596e-6,true
-253.46676197283773,-4.761527059459272e-6,true
-252.96640457469618,-4.799457592294235e-6,true
-252.4660471765547,-3.5243335944648525e-6,true
-251.96568977841315,-1.2440971738479243e-6,true
-251.46533238027163,1.4377224021397015e-6,true
-250.9649749821301,3.7788118827069683e-6,true
-250.46461758398857,5.102495473842503e-6,true
-249.96426018584702,4.9949111508335205e-6,true
-249.46390278770548,3.4361085760340132e-6,true
-248.96354538956396,8.212879252395564e-7,true
-248.46318799142247,-2.1395265929603866e-6,true
-247.96283059328093,-4.6167969432810456e-6,true
-247.4624731951394,-5.895116361314258e-6,true
-246.96211579699786,-5.578211109595523e-6,true
-246.46175839885635,-3.708486856055632e-6,true
-245.9614010007148,-7.682129849665266e-7,true
-245.46104360257326,2.4410182147240533e-6,true
-244.96068620443174,5.013763703675821e-6,true
-244.46032880629022,6.196944282967987e-6,true
-243.9599714081487,5.614359167204798e-6,true
-243.45961401000716,3.3888560252698765e-6,true
-242.95925661186564,1.1935827494847628e-7,true
-242.4588992137241,-3.2839842013376993e-6,true
-241.95854181558255,-5.857008527179459e-6,true
-241.45818441744103,-6.854778495287697e-6,true
-240.95782701929954,-5.9640719373129985e-6,true
-240.45746962115797,-3.398564416232986e-6,true
-239.95711222301648,1.4906164067928374e-7,true
-239.45675482487488,3.689607403009696e-6,true
-238.95639742673342,6.211491720304555e-6,true
-238.45604002859187,6.973494473845945e-6,true
-237.95568263045033,5.728695385685974e-6,true
-237.4553252323088,2.8064453020410635e-6,true
-236.9549678341673,-9.773631335045904e-7,true
-236.45461043602575,-4.554296790755638e-6,true
-235.9542530378842,-6.908619551208644e-6,true
-235.45389563974265,-7.363950894840763e-6,true
-234.95353824160114,-5.773481827916582e-6,true
-234.45318084345962,-2.565416243880455e-6,true
-233.95282344531807,1.3686321316222928e-6,true
-233.45246604717656,4.917229279119677e-6,true
-232.95210864903504,7.063725754052419e-6,true
-232.4517512508935,7.183707425357133e-6,true
-231.95139385275195,5.233069857343755e-6,true
-231.4510364546104,1.7638914146736332e-6,true
-230.95067905646894,-2.2379417904328435e-6,true
-230.45032165832737,-5.63963042706124e-6,true
-229.94996426018582,-7.483355870961466e-6,true
-229.4496068620443,-7.2517930222251465e-6,true
-228.94924946390282,-5.009288359284197e-6,true
-228.44889206576127,-1.385070980220197e-6,true
-227.9485346676197,2.5982749014730362e-6,true
-227.4481772694782,5.810437735171109e-6,true
-226.9478198713367,7.337807416543836e-6,true
-226.44746247319515,6.751188975965563e-6,true
-225.94710507505363,4.231115792744798e-6,true
-225.4467476769121,5.095888573139213e-7,true
-224.94639027877056,-3.350091156853821e-6,true
-224.44603288062902,-6.262111112538267e-6,true
-223.94567548248747,-7.4222263712645994e-6,true
-223.44531808434598,-6.525129004861436e-6,true
-222.94496068620444,-3.842379381895902e-6,true
-222.4446032880629,-1.4343996695650486e-7,true
-221.94424588992138,3.5209232951249458e-6,true
-221.4438884917799,6.117437025167068e-6,true
-220.9435310936383,6.927585022050982e-6,true
-220.44317369549677,5.752948910588162e-6,true
-219.94281629735522,2.9636162725475658e-6,true
-219.44245889921376,-6.229495974292626e-7,true
-218.94210150107222,-3.988359064895021e-6,true
-218.44174410293067,-6.204917468812291e-6,true
-217.9413867047891,-6.688045156304939e-6,true
-217.44102930664764,-5.345490940532826e-6,true
-216.94067190850606,-2.5904160007756164e-6,true
-216.44031451036454,7.816827939532587e-7,true
-215.93995711222303,3.820097297339321e-6,true
-215.4395997140815,5.689277516602274e-6,true
-214.93924231593996,5.904554097912237e-6,true
-214.43888491779842,4.461114981969675e-6,true
-213.93852751965687,1.8175603476843633e-6,true
-213.43817012151536,-1.2547406005371806e-6,true
-212.93781272337384,-3.901944494274622e-6,true
-212.4374553252323,-5.424951194240202e-6,true
-211.93709792709078,-5.459280461221172e-6,true
-211.4367405289493,-4.056697003663231e-6,true
-210.9363831308077,-1.6542212713200818e-6,true
-210.43602573266617,1.0582124978246368e-6,true
-209.9356683345247,3.3357801645639545e-6,true
-209.43531093638316,4.587150503069333e-6,true
-208.93495353824161,4.531707917703625e-6,true
-208.43459614010007,3.259165166967482e-6,true
-207.93423874195858,1.1789606082624306e-6,true
-207.43388134381703,-1.1155091743424378e-6,true
-206.9335239456755,-3.0189900213906367e-6,true
-206.43316654753394,-4.071560876655364e-6,true
-205.93280914939243,-4.063152554168955e-6,true
-205.4324517512509,-3.0665544321531023e-6,true
-204.93209435310936,-1.3978163863681082e-6,true
-204.43173695496782,4.815912146686769e-7,true
-203.93137955682633,2.093257334928318e-6,true
-203.43102215868478,3.0651100783739456e-6,true
-202.93066476054324,3.215347684287274e-6,true
-202.4303073624017,2.5766886144980078e-6,true
-201.92994996426017,1.361922600857761e-6,true
-201.42959256611863,-1.0939055422360018e-7,true
-200.9292351679771,-1.4955631672813755e-6,true
-200.42887776983562,-2.5061216958366687e-6,true
-199.9285203716941,-2.9522537787229387e-6,true
-199.42816297355256,-2.771787739900373e-6,true
-198.92780557541096,-2.0298268563150425e-6,true
-198.4274481772695,-8.97327607993605e-7,true
-197.92709077912795,3.874403195165471e-7,true
-197.42673338098643,1.5656040634727747e-6,true
-196.9263759828449,2.4023333576601424e-6,true
-196.42601858470337,2.7231604608320614e-6,true
-195.92566118656185,2.4417919981968962e-6,true
-195.4253037884203,1.5810898206085897e-6,true
-194.92494639027876,2.84069931242247e-7,true
-194.42458899213725,-1.1947726391904091e-6,true
-193.9242315939957,-2.5276108904227724e-6,true
-193.42387419585418,-3.38111410308256e-6,true
-192.92351679771264,-3.5001210538336547e-6,true
-192.42315939957118,-2.783887486349618e-6,true
-191.92280200142963,-1.3318218582291817e-6,true
-191.42244460328806,5.567477916647171e-7,true
-190.9220872051465,2.434323842617162e-6,true
-190.42172980700502,3.8038810966241864e-6,true
-189.9213724088635,4.247667821279588e-6,true
-189.42101501072196,3.5554712014308765e-6,true
-188.9206576125804,1.812107577240968e-6,true
-188.42030021443892,-5.921458089826149e-7,true
-187.91994281629735,-3.043396644519629e-6,true
-187.41958541815583,-4.8621748474156345e-6,true
-186.9192280200143,-5.493928489784267e-6,true
-186.41887062187277,-4.676335058890362e-6,true
-185.91851322373125,-2.5346133281639724e-6,true
-185.4181558255897,4.244763303192173e-7,true
-184.9177984274482,3.4249991364305185e-6,true
-184.41744102930664,5.62032124675144e-6,true
-183.9170836311651,6.3320312946709085e-6,true
-183.41672623302355,5.26310703948213e-6,true
-182.91636883488206,2.6148317848999217e-6,true
-182.41601143674058,-9.405606783379058e-7,true
-181.91565403859903,-4.433097718054761e-6,true
-181.41529664045746,-6.864944291829064e-6,true
-180.9149392423159,-7.496222022730886e-6,true
-180.41458184417445,-6.064656699777092e-6,true
-179.91422444603285,-2.8794690627406997e-6,true
-179.41386704789136,1.2373559825655436e-6,true
-178.91350964974984,5.155124326561159e-6,true
-178.4131522516083,7.741215722709355e-6,true
-177.91279485346678,8.192698066918145e-6,true
-177.41243745532523,6.292518088305303e-6,true
-176.91208005718374,2.500768175246618e-6,true
-176.41172265904217,-2.1578265579150213e-6,true
-175.91136526090062,-6.378662067701903e-6,true
-175.4110078627591,-8.946607371501528e-6,true
-174.9106504646176,-9.08207864437063e-6,true
-174.41029306647607,-6.670077134215968e-6,true
-173.90993566833453,-2.312630092705741e-6,true
-173.40957827019298,2.8133888281563603e-6,true
-172.90922087205146,7.266661768315732e-6,true
-172.40886347390992,9.746820708288586e-6,true
-171.90850607576843,9.482065763414572e-6,true
-171.40814867762685,6.476137239031605e-6,true
-170.90779127948537,1.5280616609145365e-6,true
-170.40743388134385,-3.987442508691474e-6,true
-169.9070764832023,-8.510758910511024e-6,true
-169.40671908506076,-1.0739924264113764e-5,true
-168.90636168691924,-9.998530817536405e-6,true
-168.4060042887777,-6.4322364070607116e-6,true
-167.90564689063618,-9.851207679438274e-7,true
-167.40528949249466,4.841386875538119e-6,true
-166.90493209435314,9.394346905310601e-6,true
-166.4045746962116,1.1339917890467593e-5,true
-165.90421729807002,1.0064609963454261e-5,true
