time (fs),deltaI
0,-0.904523453
-0.06428507,-0.874372704
-0.128570139,-0.869347579
-0.192855209,-0.864322454
-0.257140279,-0.889448078
-0.321425348,-0.914573702
-0.385710418,-0.989950574
-0.449995487,-1.050252072
-0.514280557,-1.105528445
-0.578565627,-1.160804818
-0.642850696,-1.195980691
-0.707135766,-1.195980691
-0.771420836,-1.180905317
-0.835705905,-1.135679194
-0.899990975,-1.085427946
-0.964276045,-1.020101323
-1.028561114,-0.96482495
-1.092846184,-0.914573702
-1.157131254,-0.869347579
-1.221416323,-0.84924708
-1.285701393,-0.864322454
-1.349986462,-0.889448078
-1.414271532,-0.929649077
-1.478556602,-0.98492545
-1.542841671,-1.030151573
-1.607126741,-1.080402821
-1.671411811,-1.115578694
-1.73569688,-1.135679194
-1.79998195,-1.125628944
-1.86426702,-1.095478195
-1.928552089,-1.040201822
-1.992837159,-0.969850075
-2.057122229,-0.919598827
-2.121407298,-0.85929733
-2.185692368,-0.814071206
-2.249977437,-0.758794834
-2.314262507,-0.748744584
-2.378547577,-0.773870208
-2.442832646,-0.798995832
-2.507117716,-0.809046082
-2.571402786,-0.854272205
-2.635687855,-0.889448078
-2.699972925,-0.919598827
-2.764257995,-0.944724451
-2.828543064,-0.979900325
-2.892828134,-0.989950574
-2.957113204,-0.98492545
-3.021398273,-0.9748752
-3.085683343,-0.989950574
-3.149968412,-0.96482495
-3.214253482,-0.98492545
-3.278538552,-0.959799826
-3.342823621,-0.954774701
-3.407108691,-0.944724451
-3.471393761,-0.919598827
-3.53567883,-0.914573702
-3.5999639,-0.874372704
-3.66424897,-0.854272205
-3.728534039,-0.819096331
-3.792819109,-0.798995832
-3.857104179,-0.824121456
-3.921389248,-0.85929733
-3.985674318,-0.889448078
-4.049959387,-0.934674202
-4.114244457,-1.005025949
-4.178529527,-1.080402821
-4.242814596,-1.160804818
-4.307099666,-1.201005816
-4.371384736,-1.241206814
-4.435669805,-1.241206814
-4.499954875,-1.246231939
-4.564239945,-1.195980691
-4.628525014,-1.140704318
-4.692810084,-1.060302322
-4.757095154,-0.98492545
-4.821380223,-0.934674202
-4.885665293,-0.879397829
-4.949950362,-0.869347579
-5.014235432,-0.864322454
-5.078520502,-0.894473203
-5.142805571,-0.939699326
-5.207090641,-1.010051074
-5.271375711,-1.09045307
-5.33566078,-1.135679194
-5.39994585,-1.185930442
-5.46423092,-1.22613144
-5.528515989,-1.221106315
-5.592801059,-1.195980691
-5.657086129,-1.150754568
-5.721371198,-1.09045307
-5.785656268,-1.000000824
-5.849941337,-0.914573702
-5.914226407,-0.864322454
-5.978511477,-0.804020957
-6.042796546,-0.768845083
-6.107081616,-0.748744584
-6.171366686,-0.748744584
-6.235651755,-0.773870208
-6.299936825,-0.819096331
-6.364221895,-0.869347579
-6.428506964,-0.919598827
-6.492792034,-0.979900325
-6.557077104,-1.030151573
-6.621362173,-1.055277197
-6.685647243,-1.085427946
-6.749932312,-1.10050332
-6.814217382,-1.11055357
-6.878502452,-1.10050332
-6.942787521,-1.10050332
-7.007072591,-1.060302322
-7.071357661,-1.045226947
-7.13564273,-1.000000824
-7.1999278,-0.954774701
-7.26421287,-0.924623952
-7.328497939,-0.909548578
-7.392783009,-0.84924708
-7.457068079,-0.814071206
-7.521353148,-0.814071206
-7.585638218,-0.798995832
-7.649923287,-0.809046082
-7.714208357,-0.83919683
-7.778493427,-0.879397829
-7.842778496,-0.919598827
-7.907063566,-0.979900325
-7.971348636,-1.035176698
-8.035633705,-1.060302322
-8.099918775,-1.085427946
-8.164203845,-1.075377696
-8.228488914,-1.060302322
-8.292773984,-1.020101323
-8.357059054,-0.96482495
-8.421344123,-0.919598827
-8.485629193,-0.864322454
-8.549914262,-0.798995832
-8.614199332,-0.753769709
-8.678484402,-0.73366921
-8.742769471,-0.71356871
-8.807054541,-0.73366921
-8.871339611,-0.809046082
-8.93562468,-0.864322454
-8.99990975,-0.929649077
-9.06419482,-1.030151573
-9.128479889,-1.09045307
-9.192764959,-1.150754568
-9.257050029,-1.175880192
-9.321335098,-1.201005816
-9.385620168,-1.195980691
-9.449905237,-1.155779693
-9.514190307,-1.11055357
-9.578475377,-1.070352571
-9.642760446,-1.005025949
-9.707045516,-0.959799826
-9.771330586,-0.904523453
-9.835615655,-0.894473203
-9.899900725,-0.894473203
-9.964185795,-0.914573702
-10.02847086,-0.909548578
-10.09275593,-0.929649077
-10.157041,-0.979900325
-10.22132607,-1.005025949
-10.28561114,-1.050252072
-10.34989621,-1.075377696
-10.41418128,-1.09045307
-10.47846635,-1.115578694
-10.54275142,-1.11055357
-10.60703649,-1.125628944
-10.67132156,-1.115578694
-10.73560663,-1.105528445
-10.7998917,-1.080402821
-10.86417677,-1.055277197
-10.92846184,-1.035176698
-10.99274691,-1.015076198
-11.05703198,-0.96482495
-11.12131705,-0.944724451
-11.18560212,-0.939699326
-11.24988719,-0.929649077
-11.31417226,-0.909548578
-11.37845733,-0.949749576
-11.4427424,-0.939699326
-11.50702747,-0.9748752
-11.57131254,-0.98492545
-11.63559761,-1.040201822
-11.69988267,-1.065327446
-11.76416774,-1.080402821
-11.82845281,-1.09045307
-11.89273788,-1.095478195
-11.95702295,-1.085427946
-12.02130802,-1.075377696
-12.08559309,-1.025126448
-12.14987816,-0.989950574
-12.21416323,-0.934674202
-12.2784483,-0.904523453
-12.34273337,-0.869347579
-12.40701844,-0.83919683
-12.47130351,-0.829146581
-12.53558858,-0.84924708
-12.59987365,-0.894473203
-12.66415872,-0.934674202
-12.72844379,-1.000000824
-12.79272886,-1.050252072
-12.85701393,-1.11055357
-12.921299,-1.140704318
-12.98558407,-1.185930442
-13.04986914,-1.211056066
-13.11415421,-1.21608119
-13.17843928,-1.190955566
-13.24272435,-1.170855067
-13.30700942,-1.120603819
-13.37129449,-1.085427946
-13.43557956,-1.020101323
-13.49986462,-0.954774701
-13.56414969,-0.924623952
-13.62843476,-0.909548578
-13.69271983,-0.914573702
-13.7570049,-0.929649077
-13.82128997,-0.959799826
-13.88557504,-0.994975699
-13.94986011,-1.030151573
-14.01414518,-1.060302322
-14.07843025,-1.09045307
-14.14271532,-1.120603819
-14.20700039,-1.11055357
-14.27128546,-1.120603819
-14.33557053,-1.10050332
-14.3998556,-1.065327446
-14.46414067,-1.035176698
-14.52842574,-1.020101323
-14.59271081,-0.979900325
-14.65699588,-0.949749576
-14.72128095,-0.919598827
-14.78556602,-0.914573702
-14.84985109,-0.894473203
-14.91413616,-0.874372704
-14.97842123,-0.864322454
-15.0427063,-0.884422954
-15.10699137,-0.879397829
-15.17127644,-0.894473203
-15.23556151,-0.919598827
-15.29984657,-0.934674202
-15.36413164,-0.959799826
-15.42841671,-0.979900325
-15.49270178,-0.979900325
-15.55698685,-1.000000824
-15.62127192,-0.98492545
-15.68555699,-0.979900325
-15.74984206,-0.96482495
-15.81412713,-0.924623952
-15.8784122,-0.874372704
-15.94269727,-0.83919683
-16.00698234,-0.783920458
-16.07126741,-0.753769709
-16.13555248,-0.71356871
-16.19983755,-0.683417962
-16.26412262,-0.693468211
-16.32840769,-0.703518461
-16.39269276,-0.748744584
-16.45697783,-0.768845083
-16.5212629,-0.829146581
-16.58554797,-0.874372704
-16.64983304,-0.914573702
-16.71411811,-0.954774701
-16.77840318,-0.9748752
-16.84268825,-0.98492545
-16.90697332,-1.005025949
-16.97125839,-0.994975699
-17.03554346,-0.9748752
-17.09982852,-0.924623952
-17.16411359,-0.899498328
-17.22839866,-0.874372704
-17.29268373,-0.84924708
-17.3569688,-0.85929733
-17.42125387,-0.854272205
-17.48553894,-0.869347579
-17.54982401,-0.939699326
-17.61410908,-0.969850075
-17.67839415,-1.030151573
