time (fs),deltaI
394.7977401,-0.024371849
394.7312759,-0.014321598
394.6648117,-0.009296472
394.5983474,-0.006783909
394.5318832,-0.008040191
394.465419,-0.011809035
394.3989548,-0.018090442
394.3324905,-0.026884412
394.2660263,-0.038190945
394.1995621,-0.046984915
394.1330979,-0.054522604
394.0666336,-0.05954773
394.0001694,-0.062060293
393.9337052,-0.05954773
393.867241,-0.057035167
393.8007767,-0.048241197
393.7343125,-0.038190945
393.6678483,-0.025628131
393.6013841,-0.018090442
393.5349198,-0.011809035
393.4684556,-0.008040191
393.4019914,-0.005527628
393.3355272,-0.006783909
393.2690629,-0.014321598
393.2025987,-0.024371849
393.1361345,-0.035678382
393.0696703,-0.048241197
393.0032061,-0.057035167
392.9367418,-0.064572856
392.8702776,-0.069597981
392.8038134,-0.072110544
392.7373492,-0.067085418
392.6708849,-0.057035167
392.6044207,-0.043216071
392.5379565,-0.029396975
392.4714923,-0.019346724
392.405028,-0.008040191
392.3385638,-0.000502502
392.2720996,0.004522624
392.2056354,0.003266342
392.1391711,-0.003015065
392.0727069,-0.014321598
392.0062427,-0.028140694
391.9397785,-0.04195979
391.8733142,-0.057035167
391.80685,-0.070854263
391.7403858,-0.082160796
391.6739216,-0.089698484
391.6074573,-0.088442203
391.5409931,-0.082160796
391.4745289,-0.073366826
391.4080647,-0.063316574
391.3416004,-0.052010041
391.2751362,-0.040703508
391.208672,-0.029396975
391.1422078,-0.023115568
391.0757435,-0.023115568
391.0092793,-0.026884412
390.9428151,-0.03316582
390.8763509,-0.039447227
390.8098866,-0.05075376
390.7434224,-0.062060293
390.6769582,-0.070854263
390.610494,-0.078391951
390.5440297,-0.082160796
390.4775655,-0.083417077
390.4111013,-0.080904514
390.3446371,-0.07713567
390.2781728,-0.069597981
390.2117086,-0.05954773
390.1452444,-0.05075376
390.0787802,-0.040703508
390.0123159,-0.03316582
389.9458517,-0.024371849
389.8793875,-0.019346724
389.8129233,-0.015577879
389.746459,-0.014321598
389.6799948,-0.015577879
389.6135306,-0.020603005
389.5470664,-0.026884412
389.4806021,-0.03316582
389.4141379,-0.040703508
389.3476737,-0.046984915
389.2812095,-0.052010041
389.2147453,-0.053266323
389.148281,-0.052010041
389.0818168,-0.046984915
389.0153526,-0.038190945
388.9488884,-0.029396975
388.8824241,-0.020603005
388.8159599,-0.011809035
388.7494957,-0.004271346
388.6830315,0.003266342
388.6165672,0.008291468
388.550103,0.009547749
388.4836388,0.007035187
388.4171746,0.003266342
388.3507103,-0.003015065
388.2842461,-0.013065316
388.2177819,-0.023115568
388.1513177,-0.035678382
388.0848534,-0.046984915
388.0183892,-0.054522604
387.951925,-0.058291448
387.8854608,-0.060804011
387.8189965,-0.05954773
387.7525323,-0.054522604
387.6860681,-0.046984915
387.6196039,-0.036934664
387.5531396,-0.029396975
387.4866754,-0.021859287
387.4202112,-0.018090442
387.353747,-0.019346724
387.2872827,-0.020603005
387.2208185,-0.028140694
387.1543543,-0.038190945
387.0878901,-0.05075376
387.0214258,-0.063316574
386.9549616,-0.073366826
386.8884974,-0.080904514
386.8220332,-0.083417077
386.7555689,-0.084673359
386.6891047,-0.078391951
386.6226405,-0.069597981
386.5561763,-0.054522604
386.489712,-0.040703508
386.4232478,-0.026884412
386.3567836,-0.014321598
386.2903194,-0.003015065
386.2238551,0.004522624
386.1573909,0.008291468
386.0909267,0.007035187
386.0244625,0.002010061
385.9579982,-0.005527628
385.891534,-0.016834161
385.8250698,-0.028140694
385.7586056,-0.04195979
385.6921414,-0.052010041
385.6256771,-0.060804011
385.5592129,-0.063316574
385.4927487,-0.063316574
385.4262845,-0.058291448
385.3598202,-0.052010041
385.293356,-0.043216071
385.2268918,-0.034422101
385.1604276,-0.025628131
385.0939633,-0.019346724
385.0274991,-0.015577879
384.9610349,-0.015577879
384.8945707,-0.020603005
384.8281064,-0.025628131
384.7616422,-0.034422101
384.695178,-0.043216071
384.6287138,-0.054522604
384.5622495,-0.064572856
384.4957853,-0.070854263
384.4293211,-0.073366826
384.3628569,-0.072110544
384.2963926,-0.069597981
384.2299284,-0.067085418
384.1634642,-0.05954773
384.097,-0.052010041
384.0305357,-0.043216071
