time (fs),deltaI
376.664,-0.066080349
376.6000017,-0.02336678
376.5360034,0.014321664
376.4720051,0.05452267
376.4080068,0.088442268
376.3440085,0.126130712
376.2800102,0.147487496
376.2160119,0.167587999
376.1520136,0.191457347
376.0880153,0.198995035
376.024017,0.215326694
375.9600187,0.221608101
375.8960204,0.221608101
375.8320221,0.212814131
375.7680238,0.207789005
375.7040255,0.200251317
375.6400272,0.180150814
375.5760289,0.168844281
375.5120306,0.152512622
375.4480323,0.141206089
375.384034,0.143718652
375.3200357,0.147487496
375.2560374,0.153768903
375.1920391,0.160050311
375.1280408,0.182663376
375.0640425,0.192713628
375.0000442,0.192713628
374.9360459,0.186432221
374.8720476,0.160050311
374.8080493,0.134924682
374.744051,0.10728649
374.6800527,0.08090458
374.6160544,0.038191011
374.5520561,0.009296538
374.4880578,-0.004522558
374.4240595,-0.008291402
374.3600612,0.005527693
374.2960629,0.015577945
374.2320646,0.018090508
374.1680662,0.024371915
374.1040679,0.036934729
374.0400696,0.031909604
373.9760713,0.006783975
373.912073,-0.022110498
373.8480747,-0.066080349
373.7840764,-0.09371854
373.7200781,-0.107537636
373.6560798,-0.113819043
373.5920815,-0.125125576
373.5280832,-0.125125576
373.4640849,-0.097487385
373.4000866,-0.066080349
373.3360883,-0.020854217
373.27209,0.016834226
373.2080917,0.031909604
373.1440934,0.052010107
373.0800951,0.07211061
373.0160968,0.079648298
372.9520985,0.065829203
372.8881002,0.059547795
372.8241019,0.048241262
372.7601036,0.046984981
372.6961053,0.058291514
372.632107,0.062060358
372.5681087,0.05452267
372.5041104,0.036934729
372.4401121,0.031909604
372.3761138,0.015577945
372.3121155,-0.017085372
372.2481172,-0.035929594
372.1841189,-0.06733663
372.1201206,-0.088693415
372.0561223,-0.091205977
371.992124,-0.08492457
371.9281257,-0.073618037
371.8641274,-0.052261253
371.8001291,-0.022110498
371.7361308,-0.002009995
371.6721325,0.024371915
371.6081342,0.040703574
371.5441359,0.0457287
371.4801376,0.053266388
371.4161393,0.064572921
371.352141,0.07211061
371.2881427,0.079648298
371.2241444,0.09849252
371.1601461,0.112311616
371.0961478,0.127386993
371.0321495,0.152512622
370.9681512,0.168844281
370.9041529,0.181407095
370.8401546,0.185175939
370.7761563,0.187688502
370.712158,0.166331718
370.6481597,0.15125634
370.5841614,0.132412119
370.5201631,0.108542772
370.4561648,0.095979957
370.3921665,0.084673424
370.3281682,0.08090458
370.2641699,0.084673424
370.2001716,0.087185987
370.1361733,0.08969855
370.072175,0.078392017
370.0081767,0.082160861
369.9441784,0.079648298
369.8801801,0.08090458
369.8161818,0.07211061
369.7521835,0.06331664
369.6881852,0.05452267
369.6241869,0.046984981
369.5601886,0.064572921
369.4961903,0.070854328
369.432192,0.08090458
369.3681937,0.088442268
369.3041954,0.090954831
369.240197,0.082160861
369.1761987,0.065829203
369.1122004,0.039447292
369.0482021,0.001758849
368.9842038,-0.018341654
368.9202055,-0.029648187
368.8562072,-0.034673313
368.7922089,-0.015829091
368.7282106,0.001758849
368.6642123,0.026884478
368.600214,0.055778951
368.5362157,0.093467394
368.4722174,0.119849304
368.4082191,0.1336684
368.3442208,0.143718652
368.2802225,0.136180963
368.2162242,0.138693526
368.1522259,0.129899556
368.0882276,0.126130712
368.0242293,0.111055334
367.960231,0.09849252
367.8962327,0.102261364
367.8322344,0.093467394
367.7682361,0.104773927
367.7042378,0.111055334
367.6402395,0.108542772
367.5762412,0.10728649
367.5122429,0.111055334
367.4482446,0.113567897
367.3842463,0.101005083
367.320248,0.095979957
367.2562497,0.075879454
367.1922514,0.067085484
367.1282531,0.064572921
367.0642548,0.057035232
367.0002565,0.044472418
366.9362582,0.025628196
366.8722599,0.016834226
366.8082616,0.006783975
366.7442633,0.009296538
366.680265,0.016834226
366.6162667,0.008040256
366.5522684,0.011809101
366.4882701,0.021859352
366.4242718,0.041959855
366.3602735,0.052010107
366.2962752,0.052010107
366.2322769,0.039447292
366.1682786,0.020603071
366.1042803,0.018090508
366.040282,-0.003266277
365.9762837,-0.030904468
365.9122854,-0.064824067
365.8482871,-0.082412007
365.7842888,-0.087437133
365.7202905,-0.089949696
365.6562922,-0.079899444
365.5922939,-0.092462259
365.5282956,-0.079899444
365.4642973,-0.066080349
365.400299,-0.045979846
365.3363007,-0.035929594
365.2723024,-0.029648187
365.2083041,-0.02336678
365.1443058,-0.028391905
365.0803075,-0.015829091
365.0163092,-0.019597935
364.9523109,-0.038442157
364.8883126,-0.051004971
364.8243143,-0.066080349
364.760316,-0.063567786
364.6963177,-0.072361756
